date,sales,consulting,investment,payroll,rent,utilities,technology,marketing,travel,professional_services,misc,total_income,total_expenses,net
2022-03-01,1187.29,89.35,379.6,0.0,23.11,77.27,64.41,118.99,45.08,29.31,32.03,1807.51,1930.35,0.0
2022-03-02,1248.59,0.0,349.25,808.66,510.15,115.38,49.19,108.96,68.95,4.04,24.76,1653.46,1831.03,0.0
2022-03-03,1222.75,475.45,0.0,801.35,147.78,52.46,110.45,27.85,89.06,32.46,36.22,1782.58,559.11,0.0
2022-03-04,1325.25,90.34,756.76,1054.61,46.67,69.91,103.01,229.27,84.23,6.57,65.21,1683.23,1749.07,996.02
2022-03-05,1293.63,174.7,160.3,64.33,246.78,20.08,193.12,324.98,0.0,43.42,46.29,2174.48,1564.77,0.0
2022-03-06,1318.71,308.91,176.14,268.76,411.06,75.51,135.78,254.73,94.07,2.47,61.57,1632.56,1722.55,177.26
2022-03-07,1307.04,367.59,0.0,106.08,269.83,102.73,143.85,93.84,138.32,6.21,51.12,1603.42,1252.48,1491.26
2022-03-08,1292.96,30.28,538.85,1342.51,112.66,105.89,143.23,144.88,83.76,0.94,54.08,1075.22,1983.66,85.78
2022-03-09,1326.08,296.74,589.4,483.24,329.71,59.5,157.85,183.67,0.0,86.92,44.44,1861.92,1090.53,1221.25
2022-03-10,1256.67,294.99,286.67,1036.07,165.21,85.26,35.61,259.51,106.02,0.0,27.75,1485.4,1797.68,0.0
2022-03-11,1236.63,73.71,767.92,506.68,396.22,68.06,125.54,151.71,98.31,85.01,41.91,1506.78,1969.65,357.94
2022-03-12,1263.39,205.3,0.0,253.11,18.34,70.43,193.29,338.06,113.64,19.84,64.79,1532.43,1486.88,1184.28
2022-03-13,1274.66,146.91,94.03,570.28,79.46,109.69,152.37,270.88,115.41,55.46,32.51,1806.13,1938.57,967.88
2022-03-14,1254.03,363.97,807.64,1182.32,405.16,74.31,163.89,230.63,112.73,29.28,81.3,1922.79,1773.52,0.0
2022-03-15,1279.09,234.31,296.54,609.64,323.77,74.29,94.62,128.94,0.0,49.65,55.53,1621.89,1622.92,0.0
2022-03-16,1291.47,191.91,51.28,729.99,64.5,59.61,138.25,253.82,61.66,101.12,58.92,1889.46,0.0,790.4
2022-03-17,1291.69,353.64,136.58,740.3,173.69,78.58,109.23,309.06,170.43,47.54,56.77,2120.44,1707.23,1001.18
2022-03-18,1308.68,279.42,394.48,131.85,460.31,97.63,97.55,347.53,0.0,49.59,49.84,2010.81,1833.71,0.0
2022-03-19,1338.55,68.78,0.0,129.71,38.55,98.93,158.73,163.17,109.07,80.85,62.44,2118.43,2262.83,296.39
2022-03-20,1375.52,348.93,152.64,723.14,61.08,61.35,127.99,273.55,83.97,84.56,52.54,1727.35,1689.74,0.0
2022-03-21,1308.1,201.78,0.0,799.35,234.52,76.04,155.0,237.42,66.82,50.73,71.89,1738.6,2491.55,661.68
2022-03-22,1266.58,38.41,90.92,1441.01,389.27,139.55,91.58,179.15,168.48,89.22,45.97,1236.46,2210.19,523.07
2022-03-23,1290.68,235.18,47.51,726.89,151.27,65.62,123.75,312.76,76.98,37.12,37.43,1381.05,1380.35,1842.71
2022-03-24,1277.54,202.37,659.29,1296.77,0.0,89.22,176.45,57.61,106.28,59.45,63.56,1216.68,1431.52,0.0
2022-03-25,1284.99,385.3,247.71,818.12,271.6,71.8,114.17,338.98,13.63,0.0,70.8,1894.28,2056.88,934.76
2022-03-26,1289.65,350.47,123.63,191.52,0.0,50.53,220.78,37.71,30.11,61.91,68.39,1213.3,1394.47,0.0
2022-03-27,1280.15,392.62,101.77,1111.1,199.09,75.17,77.63,278.17,101.1,60.4,51.29,1466.03,859.42,702.73
2022-03-28,1263.36,355.21,55.0,1053.73,264.73,66.72,130.71,212.12,101.68,11.13,49.15,1936.5,2101.56,246.72
2022-03-29,1293.42,450.57,0.0,643.44,146.05,112.68,136.73,90.44,130.04,93.65,57.14,1789.22,1071.56,649.69
2022-03-30,1264.62,338.85,886.95,1641.03,170.75,105.04,112.88,277.74,185.73,64.3,69.94,1289.4,1405.88,1436.95
2022-03-31,1343.83,433.2,129.7,1211.45,61.06,114.08,145.53,299.49,113.94,62.28,51.2,1677.6,1564.09,0.0
2022-04-01,1257.31,66.4,222.6,196.15,63.02,124.19,58.77,97.63,54.83,100.7,27.42,1311.99,1171.82,0.0
2022-04-02,1317.86,203.67,0.0,515.57,155.29,14.5,191.95,149.55,0.0,0.0,10.45,1993.48,1989.71,0.0
2022-04-03,1321.84,227.84,449.35,1309.95,113.93,66.16,138.95,43.49,110.09,8.08,31.24,971.49,1120.04,0.0
2022-04-04,1274.73,245.57,153.53,135.91,91.81,65.77,132.83,190.9,157.58,30.69,0.0,1676.45,1541.17,1312.93
2022-04-05,1283.3,216.6,0.0,0.0,109.55,75.48,75.96,38.69,0.0,57.22,51.48,1706.26,1376.66,2045.91
2022-04-06,1244.56,36.48,0.0,0.0,317.5,91.03,123.94,321.99,223.24,6.67,53.09,1473.68,905.69,0.0
2022-04-07,1293.38,338.59,489.07,417.31,222.42,106.62,75.96,136.27,191.26,50.3,66.96,1942.13,2013.7,917.61
2022-04-08,1261.21,144.77,51.78,2115.57,273.6,79.26,112.2,171.59,124.78,7.18,20.68,1864.01,1791.53,136.59
2022-04-09,1279.27,202.09,0.0,2219.57,160.06,76.75,140.33,0.0,81.66,37.65,21.97,2704.42,2235.01,200.47
2022-04-10,1261.12,388.39,538.32,1442.57,445.63,79.74,180.28,198.95,0.0,0.0,41.91,1834.59,1523.88,265.13
2022-04-11,1308.65,69.63,0.0,1377.18,28.02,84.72,97.58,98.64,90.09,21.49,74.24,808.62,1337.77,1089.97
2022-04-12,1293.16,146.31,0.0,659.03,284.05,85.71,197.91,0.0,94.76,96.68,20.89,1307.35,1942.24,279.25
2022-04-13,1258.26,216.36,262.14,1797.19,23.48,43.93,94.04,82.47,81.68,92.9,27.9,1658.42,2192.3,786.47
2022-04-14,1232.67,326.21,63.15,433.33,24.8,38.78,89.69,164.54,30.63,0.0,45.1,2506.78,2210.55,692.09
2022-04-15,1357.48,213.52,509.37,554.02,365.74,95.73,105.59,304.66,115.53,35.56,17.4,1418.25,1451.56,0.0
2022-04-16,1346.05,554.37,175.07,159.39,19.94,76.15,141.96,314.28,100.34,20.71,65.16,1802.29,1237.73,872.87
2022-04-17,1241.84,110.37,0.0,1022.08,164.33,98.78,91.44,251.04,100.32,0.0,43.32,1777.73,1520.8,339.05
2022-04-18,1280.21,272.99,215.58,771.73,333.01,101.96,172.04,69.7,0.0,36.23,44.79,1704.01,1682.52,0.0
2022-04-19,1308.8,84.03,553.87,2002.43,328.66,91.79,137.13,13.07,0.0,90.35,65.4,2272.36,414.18,1008.99
2022-04-20,1360.67,259.32,529.4,1177.27,135.1,39.23,88.03,166.82,241.05,49.1,65.38,1315.35,996.0,365.86
2022-04-21,1381.6,87.15,102.08,1039.59,179.45,78.25,194.72,262.17,40.98,51.98,59.66,1690.34,594.88,0.0
2022-04-22,1295.84,110.85,870.61,456.66,148.08,32.93,167.5,106.82,154.73,105.5,32.51,1336.62,355.89,479.42
2022-04-23,1288.79,283.34,0.0,1359.98,133.25,77.01,118.36,160.97,214.12,48.62,59.97,1428.45,1832.16,0.0
2022-04-24,1353.76,293.16,297.3,924.49,233.01,33.86,118.54,166.3,114.2,0.0,41.07,1509.51,563.18,373.72
2022-04-25,1321.37,132.6,0.0,736.36,157.27,57.0,172.97,107.32,110.33,12.59,35.06,1985.64,957.31,0.0
2022-04-26,1299.79,193.26,250.84,0.0,258.82,114.45,112.59,316.5,125.18,131.05,67.23,1629.58,2030.91,445.86
2022-04-27,1288.13,273.6,63.35,1629.01,62.33,55.43,62.88,44.12,95.93,65.29,60.32,2074.52,1488.57,0.0
2022-04-28,1264.36,110.25,379.83,72.71,207.73,16.72,155.16,231.74,134.88,116.28,118.25,1644.58,2200.44,0.0
2022-04-29,1237.19,191.38,787.34,1304.11,482.8,107.29,111.89,337.08,174.47,53.93,32.46,1132.53,1256.68,0.0
2022-04-30,1269.41,173.46,0.0,357.51,207.32,106.38,184.3,187.68,0.0,0.0,56.56,1419.37,535.67,891.81
2022-05-01,1276.57,330.36,342.73,0.0,206.99,81.4,171.16,233.07,211.77,20.1,68.95,1331.38,1850.99,0.0
2022-05-02,1306.43,242.19,198.54,424.13,427.29,119.0,244.1,182.35,95.3,52.19,57.73,2025.58,2367.39,519.98
2022-05-03,1322.08,23.93,0.0,193.22,413.4,69.95,88.71,393.92,88.69,33.38,103.4,1964.83,834.46,0.0
2022-05-04,1303.38,441.93,0.0,1052.67,430.63,108.95,188.93,339.86,210.23,9.67,97.93,1396.82,1107.6,839.27
2022-05-05,1297.45,202.93,181.24,0.0,368.85,144.16,112.35,65.96,97.24,18.89,12.8,2058.37,1321.27,1404.4
2022-05-06,1331.28,361.43,0.0,1276.94,277.7,34.52,82.19,274.28,222.9,0.0,57.51,2252.52,616.68,0.0
2022-05-07,1336.11,120.0,238.03,549.18,412.71,94.05,134.76,227.7,230.09,35.26,52.97,1964.46,0.0,0.0
2022-05-08,1296.63,152.06,756.74,1427.84,113.24,112.43,163.55,200.85,98.65,52.03,34.19,1250.51,1757.87,614.49
2022-05-09,1314.83,79.52,365.06,1784.68,610.62,112.37,102.4,367.29,146.68,30.61,40.48,1919.38,1029.78,48.32
2022-05-10,1246.78,121.23,113.25,308.86,258.26,95.21,69.92,115.01,158.81,63.42,49.56,1228.94,870.59,1060.65
2022-05-11,1286.55,258.96,255.09,1551.68,181.43,81.14,106.18,276.29,84.09,76.31,58.92,1885.47,1856.64,1072.3
2022-05-12,1335.87,294.44,667.8,802.23,208.83,97.39,224.37,297.49,144.42,24.63,75.4,1523.37,1168.96,0.0
2022-05-13,1307.62,357.17,673.22,2171.22,278.08,56.17,96.85,151.2,117.51,39.27,61.88,1807.67,2604.5,0.0
2022-05-14,1280.57,331.88,0.0,517.57,369.28,127.02,102.52,314.74,180.17,25.76,66.62,1633.64,1235.69,0.0
2022-05-15,1339.96,344.16,467.47,0.0,211.04,111.37,30.41,129.46,34.44,44.59,57.65,1532.45,1896.55,593.31
2022-05-16,1259.88,239.15,202.75,1255.91,232.29,41.69,216.07,351.41,199.35,6.14,61.59,1569.64,1336.42,36.8
2022-05-17,1252.06,267.56,40.35,722.86,310.88,46.72,84.94,160.95,226.79,67.92,59.23,2148.44,2261.93,569.09
2022-05-18,1335.58,282.2,0.0,1437.84,309.44,65.25,220.79,259.65,9.86,94.18,23.06,1723.15,1559.66,0.0
2022-05-19,1255.7,191.71,569.74,289.57,239.21,121.91,73.0,469.5,116.34,38.37,66.75,1723.76,2950.57,41.74
2022-05-20,1323.2,213.99,291.25,718.9,225.95,69.41,120.0,108.27,325.19,73.02,48.95,1915.08,1590.75,0.0
2022-05-21,1283.37,34.98,379.34,553.89,443.15,99.3,71.86,92.42,93.06,158.46,41.21,1375.38,1721.75,0.0
2022-05-22,1388.03,276.44,630.44,1536.19,262.98,98.46,31.51,132.73,156.59,49.77,41.31,2102.96,252.31,1000.11
2022-05-23,1345.71,0.0,310.38,430.44,0.0,163.03,95.67,93.08,0.0,75.62,75.56,2197.75,2015.6,1345.15
2022-05-24,1319.16,144.93,0.0,383.86,0.0,49.43,185.56,103.91,189.97,7.73,47.76,1785.02,878.41,951.94
2022-05-25,1331.15,149.83,186.5,766.45,212.39,68.89,82.98,0.0,212.64,56.48,63.05,1917.08,1403.28,0.0
2022-05-26,1294.05,77.69,0.0,938.34,183.0,145.2,110.62,180.1,108.38,36.21,58.29,1399.95,2117.54,0.0
2022-05-27,1395.64,386.33,81.29,1315.06,89.73,142.02,147.89,105.77,159.38,89.27,59.44,1767.31,1165.61,133.15
2022-05-28,1240.18,289.4,564.64,901.19,175.54,110.06,86.42,260.75,67.71,74.21,99.81,1607.43,1399.33,0.0
2022-05-29,1298.95,105.32,448.96,1054.45,98.94,84.26,54.46,153.98,234.92,53.87,41.2,1508.37,1848.9,662.08
2022-05-30,1258.85,120.72,0.0,38.46,358.72,80.8,125.33,190.52,38.66,76.35,27.82,1126.55,1201.02,75.18
2022-05-31,1324.7,260.05,0.0,1253.07,158.24,112.52,176.17,377.65,110.3,92.63,59.27,1927.1,1312.96,0.0
2022-06-01,1344.64,201.78,353.86,0.0,296.47,110.16,145.8,322.17,207.12,0.0,59.75,1530.26,1388.05,0.0
2022-06-02,1327.5,203.93,467.2,0.0,186.46,60.07,72.06,114.57,91.32,52.1,43.53,1989.28,1278.4,452.82
2022-06-03,1344.44,290.65,0.0,1136.62,160.62,137.21,142.44,209.58,226.4,43.63,61.51,1711.02,2325.37,281.41
2022-06-04,1395.18,152.58,266.4,702.52,156.44,62.17,98.37,165.42,157.48,95.33,53.47,1386.19,1181.88,2519.12
2022-06-05,1267.99,331.04,459.36,0.0,225.26,74.64,150.54,33.68,102.54,0.0,61.74,1167.51,739.68,0.0
2022-06-06,1308.89,380.41,0.0,833.12,159.04,80.44,142.48,109.87,199.77,36.54,35.25,900.54,1610.25,0.0
2022-06-07,1287.37,242.37,23.47,1148.46,124.31,94.57,157.38,339.53,75.37,78.45,66.36,1800.43,1280.61,0.0
2022-06-08,1228.93,128.54,235.81,580.21,113.67,9.8,227.89,224.7,127.04,31.62,21.77,2083.73,771.19,0.0
2022-06-09,1291.0,429.92,0.0,746.41,274.29,69.65,121.82,220.4,114.58,10.42,47.76,1565.82,850.1,651.2
2022-06-10,1310.1,353.7,123.85,292.05,252.73,82.82,118.7,0.0,60.02,70.86,59.35,2106.5,1644.4,0.0
2022-06-11,1318.9,117.57,404.04,1068.56,362.76,83.0,232.6,162.79,19.98,70.51,49.2,2038.35,1738.33,698.93
2022-06-12,1280.42,251.58,0.0,336.43,219.5,78.52,96.53,43.31,0.0,62.22,49.32,1436.69,1712.8,1043.98
2022-06-13,1303.19,309.61,0.0,363.28,30.14,106.76,94.82,353.8,70.57,28.27,90.35,1628.79,2096.96,0.0
2022-06-14,1369.77,259.84,151.88,374.66,279.05,46.03,89.79,273.29,87.59,40.25,52.64,1381.47,538.3,0.0
2022-06-15,1284.37,258.18,138.79,811.81,52.48,31.43,132.53,216.54,160.94,9.23,39.1,1893.36,2055.7,125.25
2022-06-16,1283.39,247.74,0.0,808.52,445.71,138.69,74.58,223.71,217.13,3.44,72.39,2040.8,1859.03,825.43
2022-06-17,1336.44,66.98,0.0,324.91,212.29,66.57,78.79,61.57,194.18,64.8,51.55,1699.66,1728.53,406.55
2022-06-18,1346.13,216.9,180.65,1298.4,540.39,73.1,149.02,0.0,95.3,44.27,69.13,1803.4,789.47,0.0
2022-06-19,1354.3,121.43,314.57,735.98,147.82,94.24,94.79,121.69,114.28,44.92,70.25,1868.71,2295.66,391.58
2022-06-20,1315.64,326.01,114.6,63.86,254.9,127.05,93.5,97.29,35.54,37.78,97.74,1659.76,1405.57,1553.39
2022-06-21,1314.42,136.29,0.0,531.41,33.75,82.93,135.05,255.18,252.91,100.11,64.31,1835.49,273.48,87.18
2022-06-22,1306.11,118.93,11.94,617.2,151.96,101.31,203.4,151.84,154.1,51.9,66.93,1655.89,1495.65,0.0
2022-06-23,1308.24,373.18,79.03,99.44,330.58,67.23,218.3,90.97,48.79,59.46,46.31,2142.92,1753.0,0.0
2022-06-24,1242.1,369.35,0.0,504.78,141.38,114.59,90.6,105.27,174.14,0.0,61.49,1599.53,1147.02,0.0
2022-06-25,1352.12,207.68,0.0,795.34,435.08,57.92,237.73,101.97,104.06,103.74,39.76,1862.58,1837.23,40.23
2022-06-26,1340.19,303.0,126.63,1006.61,264.57,161.95,128.73,178.76,59.4,54.91,44.54,1656.95,0.0,0.0
2022-06-27,1341.72,91.62,832.51,1535.12,420.48,133.46,156.23,0.0,122.71,51.61,76.63,1981.07,1401.5,0.0
2022-06-28,1381.36,391.04,616.99,901.43,164.06,46.76,165.26,192.0,211.6,0.0,43.27,1635.84,1836.33,0.0
2022-06-29,1290.28,234.78,56.02,0.0,193.54,43.38,72.87,232.53,125.5,69.08,60.83,1764.94,0.0,0.0
2022-06-30,1406.14,278.34,0.0,1311.35,0.0,89.74,157.52,165.34,201.62,1.58,54.91,1947.24,1649.28,0.0
2022-07-01,1310.53,406.54,446.31,848.15,406.02,53.57,120.16,298.5,135.05,27.01,57.15,1806.8,2144.99,202.07
2022-07-02,1316.56,202.66,275.09,928.22,200.45,98.85,139.45,202.63,15.97,75.46,45.65,2119.57,1554.85,0.0
2022-07-03,1338.98,265.0,681.11,0.0,266.48,66.54,115.42,88.05,169.02,46.39,79.21,1449.74,1690.85,0.0
2022-07-04,1362.93,289.06,0.0,585.96,96.88,75.12,156.46,107.84,75.27,0.0,98.38,1651.31,1205.77,0.0
2022-07-05,1365.19,332.6,275.48,407.99,531.83,125.43,192.74,123.07,114.88,18.98,49.48,1918.74,878.6,766.3
2022-07-06,1329.87,223.1,0.0,505.51,598.7,67.97,123.76,30.82,101.78,39.45,79.05,1948.31,1390.85,472.7
2022-07-07,1330.07,108.72,0.0,1559.76,0.0,14.97,69.96,94.75,243.06,22.77,49.27,1484.94,2526.39,64.55
2022-07-08,1339.29,249.44,0.0,96.37,147.94,95.1,189.56,0.0,303.03,36.0,54.87,1163.43,1819.22,0.0
2022-07-09,1330.08,72.29,0.0,692.29,427.55,77.94,144.9,103.4,159.43,0.0,29.41,2050.76,1291.44,0.0
2022-07-10,1298.1,355.98,725.86,1645.2,342.62,78.77,144.97,34.67,234.33,0.0,72.72,1376.02,1658.25,681.86
2022-07-11,1372.05,257.98,0.0,93.55,29.38,43.58,77.28,174.27,219.6,83.34,34.49,1909.12,2628.62,677.58
2022-07-12,1397.9,253.19,0.0,575.71,117.65,103.48,191.07,194.4,50.95,54.59,37.98,2159.56,1647.51,35.37
2022-07-13,1331.96,95.12,0.0,879.16,341.97,120.66,150.98,186.32,160.83,118.37,42.52,1871.06,2111.42,442.95
2022-07-14,1327.37,195.61,141.07,191.32,425.37,137.64,150.76,212.53,70.08,33.8,18.29,1452.86,640.65,0.0
2022-07-15,1343.76,160.13,168.36,288.42,537.39,103.67,147.85,95.01,114.98,15.07,58.61,1965.69,455.89,512.98
2022-07-16,1361.5,117.45,572.8,1301.46,54.51,96.23,144.91,190.87,189.65,74.59,1.32,2175.8,2044.55,0.0
2022-07-17,1404.2,284.49,203.48,548.94,294.71,114.01,196.48,345.81,123.28,8.27,30.57,1935.82,1047.98,579.31
2022-07-18,1327.79,152.18,252.56,427.4,441.23,31.23,189.44,386.71,129.83,39.43,35.47,1576.78,1650.64,0.0
2022-07-19,1322.67,260.67,0.0,797.01,503.61,86.19,166.1,111.31,88.57,49.07,44.9,1510.84,2368.39,58.63
2022-07-20,1280.52,80.78,151.31,382.82,48.12,111.92,78.65,0.0,66.07,16.07,54.97,1827.58,864.93,0.0
2022-07-21,1362.55,145.04,1196.09,304.34,45.17,146.08,148.12,95.25,157.57,61.97,53.98,2447.09,1431.06,478.81
2022-07-22,1301.31,247.87,143.61,44.42,313.36,91.23,118.09,287.4,16.46,26.53,63.91,2164.31,1426.29,0.0
2022-07-23,1336.16,242.62,0.0,968.44,353.62,74.75,70.51,200.34,107.23,121.46,44.01,1484.05,1691.36,423.09
2022-07-24,1354.53,288.84,504.58,695.92,291.49,76.02,89.6,123.5,96.99,58.24,36.26,1788.71,1929.89,0.0
2022-07-25,1330.56,306.34,372.74,117.78,179.1,92.34,36.21,220.55,254.8,62.0,34.94,2002.22,873.21,0.0
2022-07-26,1355.61,71.86,480.73,911.37,513.89,45.19,142.64,234.88,140.59,92.11,88.72,1810.5,440.63,0.0
2022-07-27,1353.98,197.41,25.56,1224.8,0.0,58.92,79.71,152.13,218.64,57.09,61.42,2025.96,3025.79,147.31
2022-07-28,1306.65,318.86,614.97,488.21,103.6,66.64,142.06,225.15,136.61,65.97,77.52,1076.24,0.0,127.84
